,c_i_child,c_i_parent,counts,p
2554,26,55,5,0.005
2555,26,56,5,0.005
2556,26,57,7,0.007
2557,26,58,9,0.009
2558,26,59,10,0.01
2559,26,60,12,0.012
2560,26,61,6,0.006
2561,26,62,10,0.01
2562,26,63,9,0.009
2563,26,64,4,0.004
2564,26,65,7,0.007
2565,26,66,8,0.008
2566,26,67,15,0.015
2567,26,68,7,0.007
2568,26,69,10,0.01
2569,26,70,9,0.009
2570,26,71,9,0.009
2571,26,72,5,0.005
2572,26,73,6,0.006
2573,26,74,5,0.005
2574,26,75,2,0.002
2575,26,76,6,0.006
2576,26,77,6,0.006
2577,26,78,3,0.003
2578,26,79,15,0.015
2579,26,80,3,0.003
2580,26,81,5,0.005
2581,26,82,3,0.003
2582,26,83,4,0.004
2583,26,84,4,0.004
2584,26,85,2,0.002
2585,26,86,2,0.002
2586,26,87,3,0.003
2587,26,88,2,0.002
2588,26,89,2,0.002
2589,26,90,1,0.001
2590,26,91,2,0.002
2591,26,92,4,0.004
2592,26,93,2,0.002
2593,26,94,0,0.0
2594,26,95,2,0.002
2595,26,96,2,0.002
2596,26,97,0,0.0
2597,26,98,0,0.0
2598,26,99,0,0.0
2599,26,100,0,0.0
2600,27,1,7,0.007
2601,27,2,8,0.008
2602,27,3,8,0.008
2603,27,4,10,0.01
2604,27,5,16,0.016
2605,27,6,10,0.01
2606,27,7,6,0.006
2607,27,8,11,0.011
2608,27,9,15,0.015
2609,27,10,14,0.014
2610,27,11,20,0.02
2611,27,12,14,0.014
2612,27,13,23,0.023
2613,27,14,19,0.019
2614,27,15,14,0.014
2615,27,16,15,0.015
2616,27,17,10,0.01
2617,27,18,20,0.02
2618,27,19,13,0.013
2619,27,20,18,0.018
2620,27,21,20,0.02
2621,27,22,14,0.014
2622,27,23,21,0.021
2623,27,24,14,0.014
2624,27,25,18,0.018
2625,27,26,13,0.013
2626,27,27,15,0.015
2627,27,28,19,0.019
2628,27,29,16,0.016
2629,27,30,10,0.01
2630,27,31,14,0.014
2631,27,32,14,0.014
2632,27,33,21,0.021
2633,27,34,13,0.013
2634,27,35,16,0.016
2635,27,36,12,0.012
2636,27,37,15,0.015
2637,27,38,12,0.012
2638,27,39,14,0.014
2639,27,40,12,0.012
2640,27,41,12,0.012
2641,27,42,12,0.012
2642,27,43,12,0.012
2643,27,44,11,0.011
2644,27,45,12,0.012
2645,27,46,13,0.013
2646,27,47,16,0.016
2647,27,48,8,0.008
2648,27,49,10,0.01
2649,27,50,13,0.013
2650,27,51,12,0.012
2651,27,52,16,0.016
2652,27,53,7,0.007
2653,27,54,15,0.015
2654,27,55,10,0.01
2655,27,56,12,0.012
2656,27,57,4,0.004
2657,27,58,9,0.009
2658,27,59,14,0.014
2659,27,60,14,0.014
2660,27,61,10,0.01
2661,27,62,11,0.011
2662,27,63,9,0.009
2663,27,64,5,0.005
2664,27,65,5,0.005
2665,27,66,5,0.005
2666,27,67,7,0.007
2667,27,68,13,0.013
2668,27,69,4,0.004
2669,27,70,9,0.009
2670,27,71,7,0.007
2671,27,72,10,0.01
2672,27,73,12,0.012
2673,27,74,7,0.007
2674,27,75,4,0.004
2675,27,76,5,0.005
2676,27,77,6,0.006
2677,27,78,5,0.005
2678,27,79,5,0.005
2679,27,80,9,0.009
2680,27,81,4,0.004
2681,27,82,4,0.004
2682,27,83,7,0.007
2683,27,84,6,0.006
2684,27,85,4,0.004
2685,27,86,2,0.002
2686,27,87,2,0.002
2687,27,88,6,0.006
2688,27,89,1,0.001
2689,27,90,2,0.002
2690,27,91,2,0.002
2691,27,92,2,0.002
2692,27,93,2,0.002
2693,27,94,1,0.001
2694,27,95,0,0.0
2695,27,96,0,0.0
2696,27,97,0,0.0
2697,27,98,1,0.001
2698,27,99,0,0.0
2699,27,100,0,0.0
2700,28,1,5,0.005
2701,28,2,9,0.009
2702,28,3,11,0.011
2703,28,4,8,0.008
2704,28,5,15,0.015
2705,28,6,12,0.012
2706,28,7,11,0.011
2707,28,8,15,0.015
2708,28,9,13,0.013
2709,28,10,14,0.014
2710,28,11,13,0.013
2711,28,12,17,0.017
2712,28,13,14,0.014
2713,28,14,13,0.013
2714,28,15,18,0.018
2715,28,16,10,0.01
2716,28,17,16,0.016
2717,28,18,14,0.014
2718,28,19,22,0.022
2719,28,20,14,0.014
2720,28,21,10,0.01
2721,28,22,7,0.007
2722,28,23,6,0.006
2723,28,24,15,0.015
2724,28,25,16,0.016
2725,28,26,14,0.014
2726,28,27,14,0.014
2727,28,28,16,0.016
2728,28,29,19,0.019
2729,28,30,18,0.018
2730,28,31,15,0.015
2731,28,32,10,0.01
2732,28,33,22,0.022
2733,28,34,15,0.015
2734,28,35,12,0.012
2735,28,36,26,0.026
2736,28,37,14,0.014
2737,28,38,24,0.024
2738,28,39,17,0.017
2739,28,40,12,0.012
2740,28,41,14,0.014
2741,28,42,23,0.023
2742,28,43,15,0.015
2743,28,44,14,0.014
2744,28,45,16,0.016
2745,28,46,7,0.007
2746,28,47,14,0.014
2747,28,48,15,0.015
2748,28,49,16,0.016
2749,28,50,10,0.01
2750,28,51,13,0.013
2751,28,52,11,0.011
2752,28,53,11,0.011
2753,28,54,15,0.015
2754,28,55,10,0.01
2755,28,56,12,0.012
2756,28,57,8,0.008
2757,28,58,6,0.006
2758,28,59,5,0.005
2759,28,60,11,0.011
2760,28,61,9,0.009
2761,28,62,9,0.009
2762,28,63,5,0.005
2763,28,64,10,0.01
2764,28,65,10,0.01
2765,28,66,6,0.006
2766,28,67,11,0.011
2767,28,68,8,0.008
2768,28,69,6,0.006
2769,28,70,10,0.01
2770,28,71,8,0.008
2771,28,72,6,0.006
2772,28,73,4,0.004
2773,28,74,8,0.008
2774,28,75,6,0.006
2775,28,76,4,0.004
2776,28,77,9,0.009
2777,28,78,8,0.008
2778,28,79,7,0.007
2779,28,80,3,0.003
2780,28,81,1,0.001
2781,28,82,3,0.003
2782,28,83,2,0.002
2783,28,84,7,0.007
2784,28,85,2,0.002
2785,28,86,6,0.006
2786,28,87,4,0.004
2787,28,88,1,0.001
2788,28,89,3,0.003
2789,28,90,0,0.0
2790,28,91,6,0.006
2791,28,92,2,0.002
2792,28,93,0,0.0
2793,28,94,1,0.001
2794,28,95,2,0.002
2795,28,96,0,0.0
2796,28,97,1,0.001
2797,28,98,0,0.0
2798,28,99,0,0.0
2799,28,100,0,0.0
2800,29,1,3,0.003
2801,29,2,8,0.008
2802,29,3,9,0.009
2803,29,4,11,0.011
2804,29,5,13,0.013
2805,29,6,14,0.014
2806,29,7,8,0.008
2807,29,8,14,0.014
2808,29,9,12,0.012
2809,29,10,19,0.019
2810,29,11,12,0.012
2811,29,12,10,0.01
2812,29,13,10,0.01
2813,29,14,15,0.015
2814,29,15,16,0.016
2815,29,16,19,0.019
2816,29,17,17,0.017
2817,29,18,18,0.018
2818,29,19,21,0.021
2819,29,20,18,0.018
2820,29,21,18,0.018
2821,29,22,15,0.015
2822,29,23,11,0.011
2823,29,24,11,0.011
2824,29,25,18,0.018
2825,29,26,10,0.01
2826,29,27,16,0.016
2827,29,28,15,0.015
2828,29,29,10,0.01
2829,29,30,18,0.018
2830,29,31,14,0.014
2831,29,32,11,0.011
2832,29,33,21,0.021
2833,29,34,14,0.014
2834,29,35,16,0.016
2835,29,36,14,0.014
2836,29,37,10,0.01
2837,29,38,10,0.01
2838,29,39,8,0.008
2839,29,40,14,0.014
2840,29,41,13,0.013
2841,29,42,15,0.015
2842,29,43,16,0.016
2843,29,44,16,0.016
2844,29,45,18,0.018
2845,29,46,17,0.017
2846,29,47,12,0.012
2847,29,48,11,0.011
2848,29,49,15,0.015
2849,29,50,8,0.008
2850,29,51,9,0.009
2851,29,52,15,0.015
2852,29,53,11,0.011
2853,29,54,11,0.011
2854,29,55,10,0.01
2855,29,56,15,0.015
2856,29,57,15,0.015
2857,29,58,11,0.011
2858,29,59,6,0.006
2859,29,60,4,0.004
2860,29,61,8,0.008
2861,29,62,16,0.016
2862,29,63,6,0.006
2863,29,64,11,0.011
2864,29,65,8,0.008
2865,29,66,6,0.006
2866,29,67,8,0.008
2867,29,68,11,0.011
2868,29,69,9,0.009
2869,29,70,6,0.006
2870,29,71,9,0.009
2871,29,72,6,0.006
2872,29,73,5,0.005
2873,29,74,4,0.004
2874,29,75,3,0.003
2875,29,76,9,0.009
2876,29,77,5,0.005
2877,29,78,10,0.01
2878,29,79,7,0.007
2879,29,80,6,0.006
2880,29,81,6,0.006
2881,29,82,3,0.003
2882,29,83,3,0.003
2883,29,84,3,0.003
2884,29,85,2,0.002
2885,29,86,4,0.004
2886,29,87,4,0.004
2887,29,88,3,0.003
2888,29,89,2,0.002
2889,29,90,6,0.006
2890,29,91,5,0.005
2891,29,92,2,0.002
2892,29,93,2,0.002
2893,29,94,2,0.002
2894,29,95,4,0.004
2895,29,96,0,0.0
2896,29,97,2,0.002
2897,29,98,4,0.004
2898,29,99,0,0.0
2899,29,100,1,0.001
2900,30,1,4,0.004
2901,30,2,8,0.008
2902,30,3,14,0.014
2903,30,4,7,0.007
2904,30,5,10,0.01
2905,30,6,14,0.014
2906,30,7,12,0.012
2907,30,8,16,0.016
2908,30,9,11,0.011
2909,30,10,18,0.018
2910,30,11,16,0.016
2911,30,12,17,0.017
2912,30,13,13,0.013
2913,30,14,18,0.018
2914,30,15,15,0.015
2915,30,16,14,0.014
2916,30,17,14,0.014
2917,30,18,12,0.012
2918,30,19,24,0.024
2919,30,20,15,0.015
2920,30,21,13,0.013
2921,30,22,18,0.018
2922,30,23,21,0.021
2923,30,24,23,0.023
2924,30,25,9,0.009
2925,30,26,9,0.009
2926,30,27,8,0.008
2927,30,28,11,0.011
2928,30,29,20,0.02
2929,30,30,15,0.015
2930,30,31,16,0.016
2931,30,32,11,0.011
2932,30,33,15,0.015
2933,30,34,16,0.016
2934,30,35,15,0.015
2935,30,36,13,0.013
2936,30,37,6,0.006
2937,30,38,9,0.009
2938,30,39,12,0.012
2939,30,40,24,0.024
2940,30,41,12,0.012
2941,30,42,18,0.018
2942,30,43,11,0.011
2943,30,44,17,0.017
2944,30,45,18,0.018
2945,30,46,12,0.012
2946,30,47,11,0.011
2947,30,48,12,0.012
2948,30,49,13,0.013
2949,30,50,11,0.011
2950,30,51,12,0.012
2951,30,52,13,0.013
2952,30,53,14,0.014
2953,30,54,14,0.014
2954,30,55,13,0.013
2955,30,56,8,0.008
2956,30,57,11,0.011
2957,30,58,13,0.013
2958,30,59,7,0.007
2959,30,60,14,0.014
2960,30,61,10,0.01
2961,30,62,8,0.008
2962,30,63,9,0.009
2963,30,64,7,0.007
2964,30,65,6,0.006
2965,30,66,7,0.007
2966,30,67,10,0.01
2967,30,68,6,0.006
2968,30,69,6,0.006
2969,30,70,11,0.011
2970,30,71,8,0.008
2971,30,72,7,0.007
2972,30,73,2,0.002
2973,30,74,7,0.007
2974,30,75,7,0.007
2975,30,76,4,0.004
2976,30,77,5,0.005
2977,30,78,6,0.006
2978,30,79,7,0.007
2979,30,80,5,0.005
2980,30,81,6,0.006
2981,30,82,5,0.005
2982,30,83,4,0.004
2983,30,84,4,0.004
2984,30,85,5,0.005
2985,30,86,2,0.002
2986,30,87,4,0.004
2987,30,88,3,0.003
2988,30,89,7,0.007
2989,30,90,5,0.005
2990,30,91,2,0.002
2991,30,92,1,0.001
2992,30,93,1,0.001
2993,30,94,2,0.002
2994,30,95,1,0.001
2995,30,96,0,0.0
2996,30,97,0,0.0
2997,30,98,0,0.0
2998,30,99,0,0.0
2999,30,100,0,0.0
3000,31,1,4,0.004
3001,31,2,10,0.01
3002,31,3,6,0.006
3003,31,4,13,0.013
3004,31,5,13,0.013
3005,31,6,15,0.015
3006,31,7,18,0.018
3007,31,8,17,0.017
3008,31,9,18,0.018
3009,31,10,9,0.009
3010,31,11,12,0.012
3011,31,12,15,0.015
3012,31,13,16,0.016
3013,31,14,13,0.013
3014,31,15,17,0.017
3015,31,16,17,0.017
3016,31,17,16,0.016
3017,31,18,13,0.013
3018,31,19,8,0.008
3019,31,20,19,0.019
3020,31,21,14,0.014
3021,31,22,15,0.015
3022,31,23,11,0.011
3023,31,24,17,0.017
3024,31,25,16,0.016
3025,31,26,16,0.016
3026,31,27,17,0.017
3027,31,28,14,0.014
3028,31,29,22,0.022
3029,31,30,13,0.013
3030,31,31,17,0.017
3031,31,32,13,0.013
3032,31,33,10,0.01
3033,31,34,9,0.009
3034,31,35,17,0.017
3035,31,36,18,0.018
3036,31,37,13,0.013
3037,31,38,14,0.014
3038,31,39,15,0.015
3039,31,40,16,0.016
3040,31,41,14,0.014
3041,31,42,15,0.015
3042,31,43,19,0.019
3043,31,44,12,0.012
3044,31,45,9,0.009
3045,31,46,14,0.014
3046,31,47,14,0.014
3047,31,48,8,0.008
3048,31,49,14,0.014
3049,31,50,11,0.011
3050,31,51,14,0.014
3051,31,52,8,0.008
3052,31,53,10,0.01
3053,31,54,10,0.01
3054,31,55,9,0.009
3055,31,56,8,0.008
3056,31,57,12,0.012
3057,31,58,20,0.02
3058,31,59,11,0.011
3059,31,60,6,0.006
3060,31,61,4,0.004
3061,31,62,5,0.005
3062,31,63,10,0.01
3063,31,64,11,0.011
3064,31,65,10,0.01
3065,31,66,8,0.008
3066,31,67,5,0.005
3067,31,68,6,0.006
3068,31,69,11,0.011
3069,31,70,6,0.006
3070,31,71,11,0.011
3071,31,72,9,0.009
3072,31,73,6,0.006
3073,31,74,7,0.007
3074,31,75,2,0.002
3075,31,76,4,0.004
3076,31,77,4,0.004
3077,31,78,5,0.005
3078,31,79,8,0.008
3079,31,80,3,0.003
3080,31,81,4,0.004
3081,31,82,7,0.007
3082,31,83,6,0.006
3083,31,84,4,0.004
3084,31,85,6,0.006
3085,31,86,4,0.004
3086,31,87,4,0.004
3087,31,88,2,0.002
3088,31,89,4,0.004
3089,31,90,5,0.005
3090,31,91,0,0.0
3091,31,92,1,0.001
3092,31,93,2,0.002
3093,31,94,3,0.003
3094,31,95,2,0.002
3095,31,96,3,0.003
3096,31,97,1,0.001
3097,31,98,2,0.002
3098,31,99,0,0.0
3099,31,100,1,0.001
3100,32,1,2,0.002
3101,32,2,8,0.008
3102,32,3,7,0.007
3103,32,4,9,0.009
3104,32,5,9,0.009
3105,32,6,8,0.008
3106,32,7,10,0.01
3107,32,8,12,0.012
3108,32,9,12,0.012
3109,32,10,16,0.016
3110,32,11,10,0.01
3111,32,12,19,0.019
3112,32,13,8,0.008
3113,32,14,7,0.007
3114,32,15,14,0.014
3115,32,16,13,0.013
3116,32,17,10,0.01
3117,32,18,19,0.019
3118,32,19,12,0.012
3119,32,20,18,0.018
3120,32,21,18,0.018
3121,32,22,12,0.012
3122,32,23,18,0.018
3123,32,24,19,0.019
3124,32,25,12,0.012
3125,32,26,12,0.012
3126,32,27,11,0.011
3127,32,28,10,0.01
3128,32,29,10,0.01
3129,32,30,24,0.024
3130,32,31,16,0.016
3131,32,32,15,0.015
3132,32,33,9,0.009
3133,32,34,14,0.014
3134,32,35,14,0.014
3135,32,36,16,0.016
3136,32,37,12,0.012
3137,32,38,15,0.015
3138,32,39,21,0.021
3139,32,40,23,0.023
3140,32,41,18,0.018
3141,32,42,16,0.016
3142,32,43,10,0.01
3143,32,44,17,0.017
3144,32,45,14,0.014
3145,32,46,19,0.019
3146,32,47,14,0.014
3147,32,48,12,0.012
3148,32,49,14,0.014
3149,32,50,19,0.019
3150,32,51,18,0.018
3151,32,52,10,0.01
3152,32,53,14,0.014
3153,32,54,12,0.012
3154,32,55,12,0.012
3155,32,56,17,0.017
3156,32,57,8,0.008
3157,32,58,7,0.007
3158,32,59,10,0.01
3159,32,60,16,0.016
3160,32,61,11,0.011
3161,32,62,10,0.01
3162,32,63,14,0.014
3163,32,64,4,0.004
3164,32,65,5,0.005
3165,32,66,6,0.006
3166,32,67,10,0.01
3167,32,68,5,0.005
3168,32,69,10,0.01
3169,32,70,7,0.007
3170,32,71,4,0.004
3171,32,72,7,0.007
3172,32,73,8,0.008
3173,32,74,5,0.005
3174,32,75,7,0.007
3175,32,76,8,0.008
3176,32,77,6,0.006
3177,32,78,2,0.002
3178,32,79,3,0.003
3179,32,80,10,0.01
3180,32,81,3,0.003
3181,32,82,8,0.008
3182,32,83,6,0.006
3183,32,84,9,0.009
3184,32,85,2,0.002
3185,32,86,2,0.002
3186,32,87,5,0.005
3187,32,88,2,0.002
3188,32,89,2,0.002
3189,32,90,2,0.002
3190,32,91,2,0.002
3191,32,92,1,0.001
3192,32,93,2,0.002
3193,32,94,4,0.004
3194,32,95,3,0.003
3195,32,96,1,0.001
3196,32,97,2,0.002
3197,32,98,0,0.0
3198,32,99,1,0.001
3199,32,100,0,0.0
3200,33,1,2,0.002
3201,33,2,6,0.006
3202,33,3,12,0.012
3203,33,4,11,0.011
3204,33,5,6,0.006
3205,33,6,10,0.01
3206,33,7,14,0.014
3207,33,8,11,0.011
3208,33,9,9,0.009
3209,33,10,10,0.01
3210,33,11,16,0.016
3211,33,12,16,0.016
3212,33,13,13,0.013
3213,33,14,18,0.018
3214,33,15,8,0.008
3215,33,16,21,0.021
3216,33,17,11,0.011
3217,33,18,16,0.016
3218,33,19,9,0.009
3219,33,20,10,0.01
3220,33,21,11,0.011
3221,33,22,13,0.013
3222,33,23,15,0.015
3223,33,24,19,0.019
3224,33,25,24,0.024
3225,33,26,15,0.015
3226,33,27,14,0.014
3227,33,28,26,0.026
3228,33,29,21,0.021
3229,33,30,15,0.015
3230,33,31,15,0.015
3231,33,32,11,0.011
3232,33,33,12,0.012
3233,33,34,15,0.015
3234,33,35,12,0.012
3235,33,36,17,0.017
3236,33,37,14,0.014
3237,33,38,16,0.016
3238,33,39,8,0.008
3239,33,40,14,0.014
3240,33,41,16,0.016
3241,33,42,13,0.013
3242,33,43,11,0.011
3243,33,44,15,0.015
3244,33,45,9,0.009
3245,33,46,19,0.019
3246,33,47,14,0.014
3247,33,48,10,0.01
3248,33,49,5,0.005
3249,33,50,7,0.007
3250,33,51,9,0.009
3251,33,52,14,0.014
3252,33,53,11,0.011
3253,33,54,11,0.011
3254,33,55,7,0.007
3255,33,56,8,0.008
3256,33,57,15,0.015
3257,33,58,13,0.013
3258,33,59,14,0.014
3259,33,60,13,0.013
3260,33,61,8,0.008
3261,33,62,13,0.013
3262,33,63,11,0.011
3263,33,64,5,0.005
3264,33,65,11,0.011
3265,33,66,10,0.01
3266,33,67,15,0.015
3267,33,68,8,0.008
3268,33,69,7,0.007
3269,33,70,9,0.009
3270,33,71,11,0.011
3271,33,72,5,0.005
3272,33,73,8,0.008
3273,33,74,7,0.007
3274,33,75,7,0.007
3275,33,76,9,0.009
3276,33,77,4,0.004
3277,33,78,4,0.004
3278,33,79,9,0.009
3279,33,80,4,0.004
3280,33,81,5,0.005
3281,33,82,4,0.004
3282,33,83,6,0.006
3283,33,84,2,0.002
3284,33,85,5,0.005
3285,33,86,8,0.008
3286,33,87,6,0.006
3287,33,88,2,0.002
3288,33,89,5,0.005
3289,33,90,3,0.003
3290,33,91,5,0.005
3291,33,92,2,0.002
3292,33,93,2,0.002
3293,33,94,1,0.001
3294,33,95,4,0.004
3295,33,96,2,0.002
3296,33,97,1,0.001
3297,33,98,1,0.001
3298,33,99,1,0.001
3299,33,100,0,0.0
3300,34,1,2,0.002
3301,34,2,5,0.005
3302,34,3,4,0.004
3303,34,4,11,0.011
3304,34,5,12,0.012
3305,34,6,11,0.011
3306,34,7,19,0.019
3307,34,8,17,0.017
3308,34,9,14,0.014
3309,34,10,9,0.009
3310,34,11,13,0.013
3311,34,12,12,0.012
3312,34,13,19,0.019
3313,34,14,12,0.012
3314,34,15,16,0.016
3315,34,16,18,0.018
3316,34,17,12,0.012
3317,34,18,7,0.007
3318,34,19,19,0.019
3319,34,20,9,0.009
3320,34,21,13,0.013
3321,34,22,19,0.019
3322,34,23,18,0.018
3323,34,24,11,0.011
3324,34,25,18,0.018
3325,34,26,18,0.018
3326,34,27,20,0.02
3327,34,28,12,0.012
3328,34,29,13,0.013
3329,34,30,13,0.013
3330,34,31,12,0.012
3331,34,32,14,0.014
3332,34,33,15,0.015
3333,34,34,13,0.013
3334,34,35,14,0.014
3335,34,36,13,0.013
3336,34,37,11,0.011
3337,34,38,18,0.018
3338,34,39,16,0.016
3339,34,40,13,0.013
3340,34,41,18,0.018
3341,34,42,16,0.016
3342,34,43,8,0.008
3343,34,44,10,0.01
3344,34,45,13,0.013
3345,34,46,11,0.011
3346,34,47,11,0.011
3347,34,48,12,0.012
3348,34,49,7,0.007
3349,34,50,14,0.014
3350,34,51,12,0.012
3351,34,52,11,0.011
3352,34,53,8,0.008
3353,34,54,12,0.012
3354,34,55,13,0.013
3355,34,56,14,0.014
3356,34,57,12,0.012
3357,34,58,8,0.008
3358,34,59,7,0.007
3359,34,60,9,0.009
3360,34,61,7,0.007
3361,34,62,10,0.01
3362,34,63,8,0.008
3363,34,64,11,0.011
3364,34,65,7,0.007
3365,34,66,12,0.012
3366,34,67,12,0.012
3367,34,68,15,0.015
3368,34,69,11,0.011
3369,34,70,18,0.018
3370,34,71,9,0.009
3371,34,72,9,0.009
3372,34,73,7,0.007
3373,34,74,10,0.01
3374,34,75,4,0.004
3375,34,76,7,0.007
3376,34,77,14,0.014
3377,34,78,4,0.004
3378,34,79,6,0.006
3379,34,80,5,0.005
3380,34,81,3,0.003
3381,34,82,8,0.008
3382,34,83,8,0.008
3383,34,84,6,0.006
3384,34,85,3,0.003
3385,34,86,4,0.004
3386,34,87,5,0.005
3387,34,88,2,0.002
3388,34,89,1,0.001
3389,34,90,3,0.003
3390,34,91,2,0.002
3391,34,92,1,0.001
3392,34,93,2,0.002
3393,34,94,1,0.001
3394,34,95,2,0.002
3395,34,96,2,0.002
3396,34,97,0,0.0
3397,34,98,0,0.0
3398,34,99,0,0.0
3399,34,100,0,0.0
3400,35,1,3,0.003
3401,35,2,8,0.008
3402,35,3,12,0.012
3403,35,4,7,0.007
3404,35,5,4,0.004
3405,35,6,14,0.014
3406,35,7,7,0.007
3407,35,8,10,0.01
3408,35,9,15,0.015
3409,35,10,16,0.016
3410,35,11,8,0.008
3411,35,12,9,0.009
3412,35,13,13,0.013
3413,35,14,15,0.015
3414,35,15,12,0.012
3415,35,16,14,0.014
3416,35,17,14,0.014
3417,35,18,5,0.005
3418,35,19,10,0.01
3419,35,20,13,0.013
3420,35,21,6,0.006
3421,35,22,7,0.007
3422,35,23,17,0.017
3423,35,24,15,0.015
3424,35,25,14,0.014
3425,35,26,22,0.022
3426,35,27,16,0.016
3427,35,28,15,0.015
3428,35,29,18,0.018
3429,35,30,15,0.015
3430,35,31,12,0.012
3431,35,32,21,0.021
3432,35,33,16,0.016
3433,35,34,10,0.01
3434,35,35,18,0.018
3435,35,36,16,0.016
3436,35,37,14,0.014
3437,35,38,11,0.011
3438,35,39,13,0.013
3439,35,40,18,0.018
3440,35,41,17,0.017
3441,35,42,15,0.015
3442,35,43,18,0.018
3443,35,44,14,0.014
3444,35,45,10,0.01
3445,35,46,15,0.015
3446,35,47,15,0.015
3447,35,48,9,0.009
3448,35,49,15,0.015
3449,35,50,11,0.011
3450,35,51,19,0.019
3451,35,52,12,0.012
3452,35,53,5,0.005
3453,35,54,12,0.012
3454,35,55,6,0.006
3455,35,56,6,0.006
3456,35,57,14,0.014
3457,35,58,17,0.017
3458,35,59,6,0.006
3459,35,60,10,0.01
3460,35,61,6,0.006
3461,35,62,9,0.009
3462,35,63,10,0.01
3463,35,64,11,0.011
3464,35,65,9,0.009
3465,35,66,10,0.01
3466,35,67,11,0.011
3467,35,68,10,0.01
3468,35,69,7,0.007
3469,35,70,12,0.012
3470,35,71,6,0.006
3471,35,72,10,0.01
3472,35,73,9,0.009
3473,35,74,11,0.011
3474,35,75,15,0.015
3475,35,76,10,0.01
3476,35,77,6,0.006
3477,35,78,11,0.011
3478,35,79,5,0.005
3479,35,80,9,0.009
3480,35,81,3,0.003
3481,35,82,5,0.005
3482,35,83,9,0.009
3483,35,84,6,0.006
3484,35,85,3,0.003
3485,35,86,8,0.008
3486,35,87,5,0.005
3487,35,88,4,0.004
3488,35,89,2,0.002
3489,35,90,3,0.003
3490,35,91,1,0.001
3491,35,92,4,0.004
3492,35,93,3,0.003
3493,35,94,2,0.002
3494,35,95,2,0.002
3495,35,96,3,0.003
3496,35,97,0,0.0
3497,35,98,1,0.001
3498,35,99,0,0.0
3499,35,100,0,0.0
3500,36,1,6,0.006
3501,36,2,8,0.008
3502,36,3,16,0.016
3503,36,4,13,0.013
3504,36,5,5,0.005
3505,36,6,10,0.01
3506,36,7,9,0.009
3507,36,8,20,0.02
3508,36,9,10,0.01
3509,36,10,6,0.006
3510,36,11,16,0.016
3511,36,12,15,0.015
3512,36,13,17,0.017
3513,36,14,13,0.013
3514,36,15,13,0.013
3515,36,16,8,0.008
3516,36,17,17,0.017
3517,36,18,11,0.011
3518,36,19,14,0.014
3519,36,20,17,0.017
3520,36,21,9,0.009
3521,36,22,16,0.016
3522,36,23,12,0.012
3523,36,24,16,0.016
3524,36,25,13,0.013
3525,36,26,13,0.013
3526,36,27,12,0.012
3527,36,28,17,0.017
3528,36,29,11,0.011
3529,36,30,14,0.014
3530,36,31,13,0.013
3531,36,32,14,0.014
3532,36,33,21,0.021
3533,36,34,19,0.019
3534,36,35,11,0.011
3535,36,36,7,0.007
3536,36,37,12,0.012
3537,36,38,14,0.014
3538,36,39,21,0.021
3539,36,40,12,0.012
3540,36,41,15,0.015
3541,36,42,13,0.013
3542,36,43,14,0.014
3543,36,44,11,0.011
3544,36,45,11,0.011
3545,36,46,13,0.013
3546,36,47,12,0.012
3547,36,48,8,0.008
3548,36,49,14,0.014
3549,36,50,8,0.008
3550,36,51,20,0.02
3551,36,52,15,0.015
3552,36,53,13,0.013
3553,36,54,13,0.013
3554,36,55,11,0.011
3555,36,56,7,0.007
3556,36,57,13,0.013
3557,36,58,9,0.009
3558,36,59,14,0.014
3559,36,60,4,0.004
3560,36,61,15,0.015
3561,36,62,16,0.016
3562,36,63,9,0.009
3563,36,64,10,0.01
3564,36,65,9,0.009
3565,36,66,14,0.014
3566,36,67,8,0.008
3567,36,68,15,0.015
3568,36,69,9,0.009
3569,36,70,10,0.01
3570,36,71,9,0.009
3571,36,72,7,0.007
3572,36,73,5,0.005
3573,36,74,7,0.007
3574,36,75,6,0.006
3575,36,76,4,0.004
3576,36,77,5,0.005
3577,36,78,10,0.01
3578,36,79,10,0.01
3579,36,80,9,0.009
3580,36,81,3,0.003
3581,36,82,2,0.002
3582,36,83,6,0.006
3583,36,84,5,0.005
3584,36,85,5,0.005
3585,36,86,4,0.004
3586,36,87,2,0.002
3587,36,88,6,0.006
3588,36,89,3,0.003
3589,36,90,4,0.004
3590,36,91,0,0.0
3591,36,92,6,0.006
3592,36,93,1,0.001
3593,36,94,0,0.0
3594,36,95,4,0.004
3595,36,96,2,0.002
3596,36,97,0,0.0
3597,36,98,0,0.0
3598,36,99,0,0.0
3599,36,100,1,0.001
3600,37,1,4,0.004
3601,37,2,6,0.006
3602,37,3,8,0.008
3603,37,4,6,0.006
3604,37,5,9,0.009
3605,37,6,11,0.011
3606,37,7,20,0.02
3607,37,8,10,0.01
3608,37,9,10,0.01
3609,37,10,7,0.007
3610,37,11,15,0.015
3611,37,12,7,0.007
3612,37,13,7,0.007
3613,37,14,12,0.012
3614,37,15,14,0.014
3615,37,16,13,0.013
3616,37,17,7,0.007
3617,37,18,13,0.013
3618,37,19,14,0.014
3619,37,20,13,0.013
3620,37,21,12,0.012
3621,37,22,16,0.016
3622,37,23,17,0.017
3623,37,24,18,0.018
3624,37,25,16,0.016
3625,37,26,14,0.014
3626,37,27,12,0.012
3627,37,28,14,0.014
3628,37,29,14,0.014
