,c_i_child,c_i_parent,counts,p
231,3,32,10,0.01
232,3,33,10,0.01
233,3,34,4,0.004
234,3,35,7,0.007
235,3,36,15,0.015
236,3,37,8,0.008
237,3,38,4,0.004
238,3,39,7,0.007
239,3,40,4,0.004
240,3,41,6,0.006
241,3,42,3,0.003
242,3,43,6,0.006
243,3,44,7,0.007
244,3,45,3,0.003
245,3,46,5,0.005
246,3,47,4,0.004
247,3,48,3,0.003
248,3,49,0,0.0
249,3,50,4,0.004
250,3,51,4,0.004
251,3,52,2,0.002
252,3,53,1,0.001
253,3,54,3,0.003
254,3,55,3,0.003
255,3,56,5,0.005
256,3,57,3,0.003
257,3,58,1,0.001
258,3,59,1,0.001
259,3,60,2,0.002
260,3,61,0,0.0
261,3,62,1,0.001
262,3,63,1,0.001
263,3,64,1,0.001
264,3,65,1,0.001
265,3,66,3,0.003
266,3,67,0,0.0
267,3,68,0,0.0
268,3,69,1,0.001
269,3,70,0,0.0
270,3,71,0,0.0
271,3,72,0,0.0
272,3,73,0,0.0
273,3,74,0,0.0
274,3,75,2,0.002
275,3,76,1,0.001
276,3,77,1,0.001
277,3,78,0,0.0
278,3,79,0,0.0
279,3,80,0,0.0
280,3,81,0,0.0
281,3,82,1,0.001
282,3,83,0,0.0
283,3,84,0,0.0
284,3,85,0,0.0
285,3,86,0,0.0
286,3,87,0,0.0
287,3,88,0,0.0
288,3,89,0,0.0
289,3,90,0,0.0
290,3,91,0,0.0
291,3,92,0,0.0
292,3,93,0,0.0
293,3,94,0,0.0
294,3,95,0,0.0
295,3,96,0,0.0
296,3,97,0,0.0
297,3,98,0,0.0
298,3,99,0,0.0
299,3,100,0,0.0
300,4,1,67,0.067
301,4,2,56,0.056
302,4,3,45,0.045
303,4,4,45,0.045
304,4,5,44,0.044
305,4,6,38,0.038
306,4,7,43,0.043
307,4,8,33,0.033
308,4,9,33,0.033
309,4,10,35,0.035
310,4,11,37,0.037
311,4,12,28,0.028
312,4,13,35,0.035
313,4,14,19,0.019
314,4,15,28,0.028
315,4,16,20,0.02
316,4,17,18,0.018
317,4,18,21,0.021
318,4,19,15,0.015
319,4,20,18,0.018
320,4,21,21,0.021
321,4,22,20,0.02
322,4,23,12,0.012
323,4,24,11,0.011
324,4,25,13,0.013
325,4,26,11,0.011
326,4,27,13,0.013
327,4,28,17,0.017
328,4,29,10,0.01
329,4,30,11,0.011
330,4,31,10,0.01
331,4,32,8,0.008
332,4,33,11,0.011
333,4,34,12,0.012
334,4,35,10,0.01
335,4,36,9,0.009
336,4,37,5,0.005
337,4,38,3,0.003
338,4,39,11,0.011
339,4,40,5,0.005
340,4,41,6,0.006
341,4,42,6,0.006
342,4,43,5,0.005
343,4,44,9,0.009
344,4,45,7,0.007
345,4,46,3,0.003
346,4,47,5,0.005
347,4,48,2,0.002
348,4,49,1,0.001
349,4,50,5,0.005
350,4,51,4,0.004
351,4,52,4,0.004
352,4,53,6,0.006
353,4,54,0,0.0
354,4,55,1,0.001
355,4,56,3,0.003
356,4,57,0,0.0
357,4,58,5,0.005
358,4,59,3,0.003
359,4,60,2,0.002
360,4,61,2,0.002
361,4,62,1,0.001
362,4,63,1,0.001
363,4,64,3,0.003
364,4,65,2,0.002
365,4,66,1,0.001
366,4,67,1,0.001
367,4,68,0,0.0
368,4,69,0,0.0
369,4,70,3,0.003
370,4,71,1,0.001
371,4,72,1,0.001
372,4,73,0,0.0
373,4,74,0,0.0
374,4,75,2,0.002
375,4,76,0,0.0
376,4,77,0,0.0
377,4,78,0,0.0
378,4,79,1,0.001
379,4,80,2,0.002
380,4,81,0,0.0
381,4,82,0,0.0
382,4,83,1,0.001
383,4,84,0,0.0
384,4,85,0,0.0
385,4,86,0,0.0
386,4,87,0,0.0
387,4,88,0,0.0
388,4,89,0,0.0
389,4,90,0,0.0
390,4,91,0,0.0
391,4,92,0,0.0
392,4,93,0,0.0
393,4,94,0,0.0
394,4,95,0,0.0
395,4,96,0,0.0
396,4,97,0,0.0
397,4,98,0,0.0
398,4,99,0,0.0
399,4,100,0,0.0
400,5,1,60,0.06
401,5,2,52,0.052
402,5,3,57,0.057
403,5,4,51,0.051
404,5,5,45,0.045
405,5,6,35,0.035
406,5,7,29,0.029
407,5,8,31,0.031
408,5,9,28,0.028
409,5,10,31,0.031
410,5,11,26,0.026
411,5,12,35,0.035
412,5,13,23,0.023
413,5,14,25,0.025
414,5,15,16,0.016
415,5,16,23,0.023
416,5,17,27,0.027
417,5,18,24,0.024
418,5,19,15,0.015
419,5,20,18,0.018
420,5,21,23,0.023
421,5,22,21,0.021
422,5,23,22,0.022
